Num,Direction,Elevator,Floor,Garden,Layout,Region,Price,Renovation,Size,Year,UnitPrice
145,南,有电梯,低楼层(共33层),永新城,3室2厅,徐汇,1470.0,精装,126.27,1995.0,11.641720123544784
146,南北,有电梯,中楼层(共26层),耀江花园,3室2厅,黄浦,1620.0,精装,136.89,1995.0,11.83431952662722
147,南,有电梯,低楼层(共7层),缘圆宝邸,2室2厅,嘉定,324.0,精装,73.01,1995.0,4.437748253663881
148,南,无电梯,高楼层(共6层),宝仪花苑,2室1厅,闵行,460.0,精装,72.0,1995.0,6.388888888888889
149,南,无电梯,中楼层(共6层),金利公寓,2室2厅,浦东,350.0,精装,87.88,1995.0,3.982703686845699
150,南,无电梯,低楼层(共6层),罗山六村,3室1厅,浦东,460.0,简装,94.34,1995.0,4.875980496078015
151,暂无数据,有电梯,中楼层(共21层),名都古北,4室2厅,闵行,1660.0,精装,229.0,1995.0,7.248908296943231
152,南,有电梯,中楼层(共17层),浦东星河湾,4室3厅,浦东,2700.0,精装,301.31,1995.0,8.960870863894328
153,南,有电梯,中楼层(共12层),静安新城七区,3室2厅,闵行,978.0,精装,137.0,1995.0,7.138686131386861
154,西南,有电梯,中楼层(共35层),江临天下,3室2厅,浦东,1350.0,其他,148.55,1995.0,9.087849209020531
155,南北,有电梯,高楼层(共17层),中环家园,3室2厅,普陀,818.0,精装,131.82,1995.0,6.205431649218632
156,南北,无电梯,低楼层(共6层),金帝城市岸泊(公寓),3室2厅,嘉定,395.0,精装,114.37,1995.0,3.4537028941155894
157,东南,,高楼层(共30层),新时空国际商务广场,1室1厅,长宁,195.0,精装,40.61,1995.0,4.80177296232455
158,南北,无电梯,高楼层(共6层),西凌新邨,2室1厅,黄浦,400.0,简装,56.56,1995.0,7.072135785007072
159,南,无电梯,高楼层(共7层),三门路358弄,2室1厅,杨浦,285.0,毛坯,60.68,1995.0,4.69676994067238
160,南,有电梯,低楼层(共11层),鼎鑫名流世家,2室2厅,浦东,390.0,精装,92.72,1995.0,4.206212251941329
161,东,无电梯,高楼层(共6层),威宁小区,2室1厅,长宁,338.0,精装,55.16,1995.0,6.127628716461204
162,南,无电梯,高楼层(共6层),育秀三区,2室1厅,奉贤,147.8,其他,67.98,1995.0,2.1741688731979996
163,南,有电梯,高楼层(共32层),徐汇苑,2室2厅,徐汇,1030.0,简装,129.52,1995.0,7.952439777640518
164,南,无电梯,高楼层(共6层),共富四村,2室1厅,宝山,289.0,简装,78.71,1995.0,3.6717062634989204
165,南,无电梯,高楼层(共6层),仲信苑,2室1厅,长宁,550.0,其他,64.25,1995.0,8.560311284046692
166,南,有电梯,低楼层(共11层),水清年华花园,1室1厅,闵行,320.0,精装,58.62,1995.0,5.458887751620607
167,南,有电梯,高楼层(共18层),华丽家族花园,3室2厅,浦东,1450.0,精装,155.25,1995.0,9.339774557165862
168,南,有电梯,中楼层(共7层),涵合园(公寓),3室2厅,浦东,1345.0,精装,174.8,1995.0,7.694508009153318
169,南,有电梯,中楼层(共8层),秋水云庐,3室2厅,普陀,1200.0,简装,145.89,1995.0,8.225375282747276
170,南,有电梯,低楼层(共26层),耀江花园,3室2厅,黄浦,1580.0,精装,136.25,1995.0,11.596330275229358
171,南北,有电梯,中楼层(共17层),万达城市公寓,2室2厅,嘉定,470.0,精装,87.07,1995.0,5.397955667853451
172,南北,有电梯,高楼层(共35层),大同花园南区,3室2厅,黄浦,1230.0,简装,153.74,1995.0,8.000520359047743
173,西南,,低楼层(共31层),尚海湾豪庭,3室2厅,徐汇,1299.0,精装,144.87,1995.0,8.966659763926279
174,南西南,有电梯,低楼层(共35层),江临天下,4室2厅,浦东,1500.0,精装,165.73,1995.0,9.050865866167864
175,南北,有电梯,高楼层(共14层),祥源福邸,2室2厅,嘉定,355.0,精装,86.18,1995.0,4.1192852169876994
176,南北,有电梯,高楼层(共9层),玉华东苑,3室2厅,宝山,600.0,精装,118.95,1995.0,5.044136191677175
177,南,有电梯,中楼层(共26层),仁恒河滨城(三期),2室2厅,浦东,1170.0,精装,112.69,1995.0,10.382465169935221
178,南北,有电梯,中楼层(共20层),大宁金茂府,3室2厅,闸北,1580.0,精装,159.86,1995.0,9.883648192168147
179,南,有电梯,低楼层(共15层),当代清水园,3室2厅,浦东,1288.9,精装,135.56,1995.0,9.507966951903217
180,南,有电梯,低楼层(共16层),大华锦绣华城(十八街区)(公寓),2室2厅,浦东,646.0,简装,82.88,1995.0,7.794401544401545
181,南,无电梯,高楼层(共6层),华高二村,1室1厅,浦东,230.0,简装,54.05,1995.0,4.25531914893617
182,南,有电梯,高楼层(共35层),国信世纪海景,3室2厅,浦东,2350.0,精装,235.69,1995.0,9.970724256438542
183,暂无数据,无电梯,高楼层(共6层),通海一小区,2室1厅,闵行,210.0,简装,70.53,1995.0,2.9774564015312635
184,南北,有电梯,高楼层(共18层),龙湖郦城,3室2厅,嘉定,442.0,其他,104.69,1995.0,4.221988728627376
185,南,有电梯,高楼层(共18层),古北御庭,2室2厅,浦东,1010.0,精装,104.93,1995.0,9.625464595444582
186,南,无电梯,低楼层(共6层),竹园小区(嘉定),2室1厅,嘉定,228.0,精装,75.96,1995.0,3.0015797788309637
187,南北,有电梯,低楼层(共22层),好世皇马苑,2室2厅,嘉定,335.0,精装,83.55,1995.0,4.009575104727708
188,南,有电梯,低楼层(共43层),盛大金磐,3室2厅,浦东,2300.0,精装,194.28,1995.0,11.83858348774964
189,南,有电梯,高楼层(共16层),佳信都市花园(公寓),7室2厅,长宁,1880.0,简装,261.11,1995.0,7.200030638428248
190,东南,有电梯,中楼层(共21层),延平大厦,2室2厅,静安,860.0,精装,116.27,1995.0,7.396576933000774
